CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	pba	6	0.93827	0.500011	0.437397	0.0509291	0.00518568	2.12241	0.614669	3.71157e+07	7.35146e+07	0.0335133	0.00378209	0.0044297	0	0.000628759	0	0.0385718	0.00378209	0.0609274	0.00680065	0.0178923	0	0.000817496	0	0.0796372	0.00680065	0.0160411	0.00180387	0.00230655	0	0.00026005	0	0.0186077	0.00180387	0.029366	0.00326756	0.00230655	0	0.00026005	0	0.0319326	0.00326756	45	9
7.7	pba	7	0.93827	0.500014	0.377705	0.0474969	0.00423676	2.65345	0.656106	8.97939e+07	1.65664e+08	0.0165986	0.00222376	0.00270302	0	0.000245745	0	0.0195473	0.00222376	0.0305762	0.00401031	0.011104	0	0.00032038	0	0.0420006	0.00401031	0.00797222	0.00106104	0.00140814	0	0.000101929	0	0.00948229	0.00106104	0.0147859	0.00192798	0.00140814	0	0.000101929	0	0.016296	0.00192798	26	7
7.7	pba	8	0.93827	0.548208	0.277626	0.0482289	0.0065483	3.76223	4.91807	3.6418e+07	9.74382e+07	0.00701113	0.00126964	0.00153874	0	0.000512314	0	0.00906219	0.00126964	0.0135945	0.0024279	0.00639637	0	0.000720121	0	0.020711	0.0024279	0.00342295	0.000618015	0.000801875	0	0.000223657	0	0.00444848	0.000618015	0.00666332	0.00118659	0.000801875	0	0.000223657	0	0.00768885	0.00118659	14	4
7.7	pro	0	0.93827	0.576587	0.0402979	0.108632	0.0108124	2.79299	0.621127	409183	429840	9.47175	0.830886	0.0487722	0	0.0618063	0	9.58233	0.830886	13.1183	1.13556	0.156034	0	0.0674673	0	13.3418	1.13556	23.7368	1.99085	1.05781	0	0.0440158	0	24.8386	1.99085	36.9278	3.08388	1.05781	0	0.0440158	0	38.0297	3.08388	337	2
7.7	pro	1	0.93827	0.600261	0.0785068	0.101908	0.0294261	2.95215	0.827848	692817	2.18288e+06	7.85426	0.688921	0.043178	0.0036277	0.0494016	0.0102222	7.94684	0.702771	10.9056	0.943913	0.138345	0.0121129	0.0539414	0.0110589	11.0979	0.967085	19.8754	1.66734	0.940112	0.0876355	0.035269	0.0102222	20.8508	1.7652	31.0471	2.59394	0.940112	0.0876355	0.035269	0.00670311	32.0224	2.68828	290	6
7.7	pro	2	0.93827	0.562374	0.107856	0.104947	0.0418833	3.13001	1.59915	388204	1.64803e+06	5.45341	0.473275	0.0339188	0.00323285	0.0270546	0.00690829	5.51438	0.483417	7.66355	0.656924	0.10872	0.0108196	0.0295631	0.00747475	7.80183	0.675218	14.4012	1.20104	0.739222	0.0785295	0.0194441	0.00690829	15.1599	1.28647	22.7683	1.89388	0.739222	0.0785295	0.0194441	0.00453618	23.527	1.97694	226	8
7.7	pro	3	0.93827	0.587264	0.0381076	0.102101	0.0153321	3.88573	1.02711	355381	587895	3.46634	0.300753	0.0239248	0	0.0175935	0	3.50786	0.300753	4.89552	0.419543	0.0768299	0	0.0192194	0	4.99157	0.419543	9.32487	0.777937	0.523928	0	0.0126132	0	9.86141	0.777937	14.8539	1.23651	0.523928	0	0.0126132	0	15.3905	1.23651	160	10
7.7	pro	4	0.93827	0.603346	0.075979	0.0970048	0.0430738	4.6169	3.30403	438272	2.23177e+06	2.17208	0.187951	0.0174968	0.00427714	0.0100021	0.0221654	2.19958	0.214393	3.09752	0.264843	0.0563264	0.0143068	0.0109299	0.0241235	3.16478	0.303273	6.04928	0.504487	0.385588	0.103708	0.0071905	0.0221654	6.44206	0.63036	9.75603	0.812664	0.385588	0.103708	0.0071905	0.0153675	10.1488	0.93174	110	11
7.7	pro	5	0.93827	0.596446	0.0425331	0.0871118	0.015711	4.46674	1.00953	970353	2.20815e+06	1.1545	0.0992281	0.0114064	0.00104743	0.00350712	0.000603793	1.16941	0.100879	1.67385	0.142314	0.0368398	0.00352808	0.0038394	0.000656423	1.71453	0.146498	3.40101	0.283176	0.253475	0.0258564	0.00256166	0.000603793	3.65705	0.309636	5.57763	0.464576	0.253475	0.0258564	0.00256166	0.000414703	5.83367	0.490847	72	10
7.7	pro	6	0.93827	0.599124	0.0475954	0.0852617	0.0210082	5.44393	1.81235	751047	2.38959e+06	0.603511	0.0521289	0.0069956	0.000928656	0.00160417	0.000386141	0.612111	0.0534437	0.885833	0.0756507	0.022645	0.00314632	0.0017566	0.000419687	0.910235	0.0792167	1.85317	0.154968	0.156353	0.0232474	0.00117428	0.000386141	2.0107	0.178602	3.08128	0.257834	0.156353	0.0232474	0.00117428	0.000264551	3.23881	0.281346	45	9
